Recipe	Ingredient	Specie	Quantity	Dry_matter	Energy	Water	Glucides	Lipids	Proteins	Richness	Phylogenetic_diversity	Weighted_phylogenetic_diversity	Shannon	Simpson	URL
Tartare végétarien de betteraves rouges au fromage de chèvre	Mayonnaise	NA	75 g	61.42 g	NA	18.1	2.62	75.2	1.36	6	144.8	28.75	0.82	1.83	https://www.marmiton.org/recettes/recette_tartare-vegetarien-de-betteraves-rouges-au-fromage-de-chevre_31529.aspx
Tartare végétarien de betteraves rouges au fromage de chèvre	Échalote	Allium ascalonicum	40 g	7.08 g	269.0	82.3	12.2	 0.5	1.81	6	144.8	28.75	0.82	1.83	https://www.marmiton.org/recettes/recette_tartare-vegetarien-de-betteraves-rouges-au-fromage-de-chevre_31529.aspx
Tartare végétarien de betteraves rouges au fromage de chèvre	Vinaigre de xérès	Vitis	15 g	1.27 g	93.3	91.5	NA	0	 0.5	6	144.8	28.75	0.82	1.83	https://www.marmiton.org/recettes/recette_tartare-vegetarien-de-betteraves-rouges-au-fromage-de-chevre_31529.aspx
Burger végétarien aux lentilles	Ail	Allium sativum	40 g	12.88 g	470.0	67.8	18.6	 0.5	5.31	10	301.6	26.59	1.03	4.14	https://www.marmiton.org/recettes/recette_burger-vegetarien-aux-lentilles_345408.aspx
Burger végétarien aux lentilles	Huile d'olive	Olea europaea	30 g	29.97 g	3700.0	0.1	0	99.9	 0.5	10	301.6	26.59	1.03	4.14	https://www.marmiton.org/recettes/recette_burger-vegetarien-aux-lentilles_345408.aspx
Burger végétarien aux lentilles	Cumin	Cuminum cyminum	5 g	4.6 g	1780.0	8.06	33.7	22.3	17.8	10	301.6	26.59	1.03	4.14	https://www.marmiton.org/recettes/recette_burger-vegetarien-aux-lentilles_345408.aspx
Burger végétarien aux lentilles	Concentré de tomates	Solanum lycopersicum	15 g	4.2 g	419.0	72	17.1	0.53	4.4	10	301.6	26.59	1.03	4.14	https://www.marmiton.org/recettes/recette_burger-vegetarien-aux-lentilles_345408.aspx
Burger végétarien aux lentilles	Ketchup	NA	30 g	8.67 g	420.0	71.1	21.4	0.19	1.27	10	301.6	26.59	1.03	4.14	https://www.marmiton.org/recettes/recette_burger-vegetarien-aux-lentilles_345408.aspx
Burger végétarien aux lentilles	Sel	NA	1 g	1.0 g	0.0	0.027	0	0	0	10	301.6	26.59	1.03	4.14	https://www.marmiton.org/recettes/recette_burger-vegetarien-aux-lentilles_345408.aspx
Burger végétarien aux lentilles	Poivre	Piper nigrum	1 g	0.91 g	1380.0	9	39.5	7.5	13.3	10	301.6	26.59	1.03	4.14	https://www.marmiton.org/recettes/recette_burger-vegetarien-aux-lentilles_345408.aspx
Burger végétarien aux lentilles	Oignon	Allium cepa	120 g	12.48 g	NA	89.6	6.25	0.62	1.1	10	301.6	26.59	1.03	4.14	https://www.marmiton.org/recettes/recette_burger-vegetarien-aux-lentilles_345408.aspx
Burger végétarien aux lentilles	Oeuf	Gallus gallus	80 g	18.96 g	584.0	76.3	0.27	9.83	12.7	10	301.6	26.59	1.03	4.14	https://www.marmiton.org/recettes/recette_burger-vegetarien-aux-lentilles_345408.aspx
