Recipe	Ingredient	Specie	Quantity	Dry_matter	Energy	Water	Glucides	Lipids	Proteins	Richness	Phylogenetic_diversity	Weighted_phylogenetic_diversity	Shannon	Simpson	URL
Véritable moelleux au chocolat	Fèves	Vicia faba	5 g	1.1 g	350.0	77.9	9.35	0.8	8.06	4	196.0	40.31	0.95	1.46	https://www.marmiton.org/recettes/recette_veritable-moelleux-au-chocolat_12825.aspx
Ramequins fondants au chocolat	Sucre semoule	Saccharum	80 g	79.86 g	NA	0.17	99.8	0	0	4	159.33	39.82	1.13	1.07	https://www.marmiton.org/recettes/recette_ramequins-fondants-au-chocolat_15816.aspx
Ramequins fondants au chocolat	Farine	Triticum aestivum	15 g	13.12 g	1480.0	12.5	73.7	1	9.03	4	159.33	39.82	1.13	1.07	https://www.marmiton.org/recettes/recette_ramequins-fondants-au-chocolat_15816.aspx
Ramequins fondants au chocolat	Oeuf	Gallus gallus	240 g	56.88 g	584.0	76.3	0.27	9.83	12.7	4	159.33	39.82	1.13	1.07	https://www.marmiton.org/recettes/recette_ramequins-fondants-au-chocolat_15816.aspx
Ramequins fondants au chocolat	Beurre doux	Bos taurus	35 g	29.54 g	3100.0	15.6	0.5	83.4	0.7	4	159.33	39.82	1.13	1.07	https://www.marmiton.org/recettes/recette_ramequins-fondants-au-chocolat_15816.aspx
Meringue pour les nuls	Blanc d'oeuf	Gallus gallus	220 g	27.28 g	204.0	87.6	0.85	0.19	10.8	1	1	1	0.35	0.07	https://www.marmiton.org/recettes/recette_meringue-pour-les-nuls_36610.aspx
Pain d'épices	Farine	Triticum aestivum	250 g	218.75 g	1480.0	12.5	73.7	1	9.03	7	222.57	27.85	-0.39	4.95	https://www.marmiton.org/recettes/recette_pain-d-epices_11087.aspx
Pain d'épices	Sucre en poudre	Saccharum	100 g	99.83 g	NA	0.17	99.8	0	0	7	222.57	27.85	-0.39	4.95	https://www.marmiton.org/recettes/recette_pain-d-epices_11087.aspx
Pain d'épices	Levure chimique	NA	5 g	4.73 g	NA	5.4	33.2	0.2	1.96	7	222.57	27.85	-0.39	4.95	https://www.marmiton.org/recettes/recette_pain-d-epices_11087.aspx
Pain d'épices	Sucre vanillé	Saccharum	5 g	4.99 g	NA	0.13	99	0.33	0.1	7	222.57	27.85	-0.39	4.95	https://www.marmiton.org/recettes/recette_pain-d-epices_11087.aspx
Pain d'épices	Anis	NA	5 g	NA	NA	NA	NA	NA	NA	7	222.57	27.85	-0.39	4.95	https://www.marmiton.org/recettes/recette_pain-d-epices_11087.aspx
Pain d'épices	Muscade	Myristica fragrans	5 g	4.69 g	2100.0	6.22	28.5	36.3	5.3	7	222.57	27.85	-0.39	4.95	https://www.marmiton.org/recettes/recette_pain-d-epices_11087.aspx
Pain d'épices	Cannelle	Cinnamomum verum	5 g	4.47 g	1000.0	10.6	27.5	1.22	3.87	7	222.57	27.85	-0.39	4.95	https://www.marmiton.org/recettes/recette_pain-d-epices_11087.aspx
Pain d'épices	Gingembre	Zingiber officinale	5 g	4.5 g	1410.0	9.94	58.3	4.24	8.98	7	222.57	27.85	-0.39	4.95	https://www.marmiton.org/recettes/recette_pain-d-epices_11087.aspx
Pain d'épices	Quatre-épices	NA	5 g	NA	NA	NA	NA	NA	NA	7	222.57	27.85	-0.39	4.95	https://www.marmiton.org/recettes/recette_pain-d-epices_11087.aspx
Pain d'épices	Lait	Bos taurus	10 cl	10.6 g	198.0	89.4	4.83	1.55	3.38	7	222.57	27.85	-0.39	4.95	https://www.marmiton.org/recettes/recette_pain-d-epices_11087.aspx
Pain d'épices	Oeuf	Gallus gallus	160 g	37.92 g	584.0	76.3	0.27	9.83	12.7	7	222.57	27.85	-0.39	4.95	https://www.marmiton.org/recettes/recette_pain-d-epices_11087.aspx
Pancakes faciles et rapides	Huile	NA	15 g	15.0 g	3700.0	 0.03	0	100	 0.5	4	157.33	42.55	0.43	1.81	https://www.marmiton.org/recettes/recette_pancakes-faciles-et-rapides_81518.aspx
Pancakes faciles et rapides	Farine	Triticum aestivum	150 g	131.25 g	1480.0	12.5	73.7	1	9.03	4	157.33	42.55	0.43	1.81	https://www.marmiton.org/recettes/recette_pancakes-faciles-et-rapides_81518.aspx
Pancakes faciles et rapides	Levure	Saccharomyces cerevisiae	5 g	4.75 g	1400.0	5	21.8	4.5	40.4	4	157.33	42.55	0.43	1.81	https://www.marmiton.org/recettes/recette_pancakes-faciles-et-rapides_81518.aspx
Pancakes faciles et rapides	Lait	Bos taurus	20 cl	21.2 g	198.0	89.4	4.83	1.55	3.38	4	157.33	42.55	0.43	1.81	https://www.marmiton.org/recettes/recette_pancakes-faciles-et-rapides_81518.aspx
Pancakes faciles et rapides	Oeuf	Gallus gallus	80 g	18.96 g	584.0	76.3	0.27	9.83	12.7	4	157.33	42.55	0.43	1.81	https://www.marmiton.org/recettes/recette_pancakes-faciles-et-rapides_81518.aspx
Pâte à crêpes (des plus raffinées)	Sel	NA	1 g	1.0 g	0.0	0.027	0	0	0	3	134.0	33.68	0.49	3.01	https://www.marmiton.org/recettes/recette_pate-a-crepes-des-plus-raffinees_49665.aspx
Pâte à crêpes (des plus raffinées)	Sucre en poudre	Saccharum	75 g	74.87 g	NA	0.17	99.8	0	0	3	134.0	33.68	0.49	3.01	https://www.marmiton.org/recettes/recette_pate-a-crepes-des-plus-raffinees_49665.aspx
Pâte à crêpes (des plus raffinées)	Lait	Bos taurus	1 l	106.0 g	198.0	89.4	4.83	1.55	3.38	3	134.0	33.68	0.49	3.01	https://www.marmiton.org/recettes/recette_pate-a-crepes-des-plus-raffinees_49665.aspx
Pâte à crêpes (des plus raffinées)	Oeuf	Gallus gallus	480 g	113.76 g	584.0	76.3	0.27	9.83	12.7	3	134.0	33.68	0.49	3.01	https://www.marmiton.org/recettes/recette_pate-a-crepes-des-plus-raffinees_49665.aspx
Pâte à crêpes (des plus raffinées)	Beurre	Bos taurus	90 g	76.14 g	3100.0	15.4	0.9	82.9	0.7	3	134.0	33.68	0.49	3.01	https://www.marmiton.org/recettes/recette_pate-a-crepes-des-plus-raffinees_49665.aspx
Pâte à crêpes (des plus raffinées)	Grand-marnier	NA	3 cl	9.6 g	945.0	68	1	0	0	3	134.0	33.68	0.49	3.01	https://www.marmiton.org/recettes/recette_pate-a-crepes-des-plus-raffinees_49665.aspx
Panna cotta	Sucre	Saccharum	50 g	49.91 g	NA	0.17	99.8	0	0	2	30.0	15.0	0.36	0.25	https://www.marmiton.org/recettes/recette_panna-cotta_17991.aspx
Panna cotta	Gélatine	NA	1 g	0.88 g	1480.0	11.7	0	0.1	86.9	2	30.0	15.0	0.36	0.25	https://www.marmiton.org/recettes/recette_panna-cotta_17991.aspx
Panna cotta	Vanille	Vanilla planifolia	1 g	0.14 g	245.0	85.6	14.4	0	0.03	2	30.0	15.0	0.36	0.25	https://www.marmiton.org/recettes/recette_panna-cotta_17991.aspx
Chouquettes	Farine	Triticum aestivum	150 g	131.25 g	1480.0	12.5	73.7	1	9.03	4	184.4	31.46	1.15	3.51	https://www.marmiton.org/recettes/recette_chouquettes_30622.aspx
Chouquettes	Sucre semoule	Saccharum	15 g	14.97 g	NA	0.17	99.8	0	0	4	184.4	31.46	1.15	3.51	https://www.marmiton.org/recettes/recette_chouquettes_30622.aspx
Chouquettes	Sel	NA	1 g	1.0 g	0.0	0.027	0	0	0	4	184.4	31.46	1.15	3.51	https://www.marmiton.org/recettes/recette_chouquettes_30622.aspx
Chouquettes	Levure chimique	NA	3 g	2.84 g	NA	5.4	33.2	0.2	1.96	4	184.4	31.46	1.15	3.51	https://www.marmiton.org/recettes/recette_chouquettes_30622.aspx
Chouquettes	Sucre vanillé	Saccharum	3 g	3.0 g	NA	0.13	99	0.33	0.1	4	184.4	31.46	1.15	3.51	https://www.marmiton.org/recettes/recette_chouquettes_30622.aspx
Chouquettes	Beurre doux	Bos taurus	100 g	84.4 g	3100.0	15.6	0.5	83.4	0.7	4	184.4	31.46	1.15	3.51	https://www.marmiton.org/recettes/recette_chouquettes_30622.aspx
Chouquettes	Oeuf	Gallus gallus	240 g	56.88 g	584.0	76.3	0.27	9.83	12.7	4	184.4	31.46	1.15	3.51	https://www.marmiton.org/recettes/recette_chouquettes_30622.aspx
Chouquettes	Sucre en grain	Saccharum	50 g	49.91 g	NA	0.17	99.8	0	0	4	184.4	31.46	1.15	3.51	https://www.marmiton.org/recettes/recette_chouquettes_30622.aspx
Crème de citron (Lemon curd)	Sucre	Saccharum	150 g	149.75 g	NA	0.17	99.8	0	0	3	108.0	34.1	-0.01	2.58	https://www.marmiton.org/recettes/recette_creme-de-citron-lemon-curd_11210.aspx
Crème de citron (Lemon curd)	Maïzena	Zea mays	15 g	13.61 g	1540.0	9.26	89.2	0.25	0.43	3	108.0	34.1	-0.01	2.58	https://www.marmiton.org/recettes/recette_creme-de-citron-lemon-curd_11210.aspx
Crème de citron (Lemon curd)	Oeuf	Gallus gallus	240 g	56.88 g	584.0	76.3	0.27	9.83	12.7	3	108.0	34.1	-0.01	2.58	https://www.marmiton.org/recettes/recette_creme-de-citron-lemon-curd_11210.aspx
Madeleines au miel	Miel	Apis	15 g	12.36 g	NA	17.6	81.7	0	0.56	6	238.0	40.62	0.36	3.18	https://www.marmiton.org/recettes/recette_madeleines-au-miel_19756.aspx
Madeleines au miel	Farine	Triticum aestivum	150 g	131.25 g	1480.0	12.5	73.7	1	9.03	6	238.0	40.62	0.36	3.18	https://www.marmiton.org/recettes/recette_madeleines-au-miel_19756.aspx
Madeleines au miel	Levure	Saccharomyces cerevisiae	3 g	2.85 g	1400.0	5	21.8	4.5	40.4	6	238.0	40.62	0.36	3.18	https://www.marmiton.org/recettes/recette_madeleines-au-miel_19756.aspx
Madeleines au miel	Citron	Citrus limon	2 cl	2.74 g	170.0	86.3	3.14	 0.3	1.13	6	238.0	40.62	0.36	3.18	https://www.marmiton.org/recettes/recette_madeleines-au-miel_19756.aspx
Madeleines au miel	Sel	NA	1 g	1.0 g	0.0	0.027	0	0	0	6	238.0	40.62	0.36	3.18	https://www.marmiton.org/recettes/recette_madeleines-au-miel_19756.aspx
Madeleines au miel	Beurre	Bos taurus	125 g	105.75 g	3100.0	15.4	0.9	82.9	0.7	6	238.0	40.62	0.36	3.18	https://www.marmiton.org/recettes/recette_madeleines-au-miel_19756.aspx
Madeleines au miel	Oeuf	Gallus gallus	240 g	56.88 g	584.0	76.3	0.27	9.83	12.7	6	238.0	40.62	0.36	3.18	https://www.marmiton.org/recettes/recette_madeleines-au-miel_19756.aspx
Financier minute (pour utiliser des blancs d'oeuf)	Farine	Triticum aestivum	60 g	52.5 g	1480.0	12.5	73.7	1	9.03	4	159.33	38.77	0.23	3.31	https://www.marmiton.org/recettes/recette_financier-minute-pour-utiliser-des-blancs-d-oeuf_17526.aspx
Financier minute (pour utiliser des blancs d'oeuf)	Sucre	Saccharum	150 g	149.75 g	NA	0.17	99.8	0	0	4	159.33	38.77	0.23	3.31	https://www.marmiton.org/recettes/recette_financier-minute-pour-utiliser-des-blancs-d-oeuf_17526.aspx
Financier minute (pour utiliser des blancs d'oeuf)	Beurre	Bos taurus	100 g	84.6 g	3100.0	15.4	0.9	82.9	0.7	4	159.33	38.77	0.23	3.31	https://www.marmiton.org/recettes/recette_financier-minute-pour-utiliser-des-blancs-d-oeuf_17526.aspx
